,id,analysis_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
27,2uFnSCNpfxySA144y7iIxq,https://api.spotify.com/v1/audio-analysis/2uFnSCNpfxySA144y7iIxq,0.375,0.174,1,-17.577,1,0.0377,0.9,0.914,0.117,0.163,84.148,220009,4,1
28,4douYG0S01NIbF0vyz7PPb,https://api.spotify.com/v1/audio-analysis/4douYG0S01NIbF0vyz7PPb,0.451,0.244,0,-11.789,0,0.0296,0.947,0.101,0.0996,0.344,50.505,204545,4,1
29,08WnE2pJN9r7WirMgSFlJf,https://api.spotify.com/v1/audio-analysis/08WnE2pJN9r7WirMgSFlJf,0.599,0.0926,3,-21.799,1,0.0434,0.949,0.94,0.107,0.117,115.265,216174,4,1
30,3eoLFO9XPg6vnONeRen5hf,https://api.spotify.com/v1/audio-analysis/3eoLFO9XPg6vnONeRen5hf,0.413,0.25,9,-15.631,0,0.0329,0.972,0.898,0.257,0.134,135.967,182993,4,1
31,74NmDsFZbbS0T7Zc2z74Cd,https://api.spotify.com/v1/audio-analysis/74NmDsFZbbS0T7Zc2z74Cd,0.457,0.13,2,-18.94,1,0.0462,0.976,0.915,0.0785,0.215,112.553,208217,3,2
32,33sW1w6GqKgSolhokSdhpd,https://api.spotify.com/v1/audio-analysis/33sW1w6GqKgSolhokSdhpd,0.335,0.203,8,-16.864,1,0.0331,0.948,0.94,0.201,0.202,173.515,153061,3,2
33,0QPlQSzKFeCaUUsTKI5l3H,https://api.spotify.com/v1/audio-analysis/0QPlQSzKFeCaUUsTKI5l3H,0.568,0.143,5,-16.994,1,0.0381,0.964,0.864,0.0962,0.126,105.323,226611,3,2
34,1ImSQqQnC1UmJaKtT3GfEp,https://api.spotify.com/v1/audio-analysis/1ImSQqQnC1UmJaKtT3GfEp,0.334,0.193,8,-18.841,1,0.0351,0.985,0.966,0.229,0.093,107.149,191875,4,1
35,1ZmQ6hnTsXicbT8DnOmdBi,https://api.spotify.com/v1/audio-analysis/1ZmQ6hnTsXicbT8DnOmdBi,0.463,0.0917,0,-17.759,1,0.0402,0.974,0.973,0.0952,0.0909,80.902,220728,4,1
36,3jiTehDiPwfIxr9MHfPUvb,https://api.spotify.com/v1/audio-analysis/3jiTehDiPwfIxr9MHfPUvb,0.643,0.28,10,-13.774,1,0.0332,0.965,0.867,0.107,0.0865,108.046,203097,4,1
37,51JcTTZu3LG8aDEXBA4XzV,https://api.spotify.com/v1/audio-analysis/51JcTTZu3LG8aDEXBA4XzV,0.55,0.153,7,-19.221,1,0.0339,0.914,0.711,0.107,0.0603,54.97,216670,4,1
38,1D1E8UfZDUk0FZ2ZhlW1OF,https://api.spotify.com/v1/audio-analysis/1D1E8UfZDUk0FZ2ZhlW1OF,0.483,0.167,5,-14.758,1,0.0341,0.936,0.9,0.0863,0.169,96.578,204301,4,1
39,6GD9L0BqpyENa325mplxQ9,https://api.spotify.com/v1/audio-analysis/6GD9L0BqpyENa325mplxQ9,0.477,0.299,3,-14.072,0,0.0388,0.945,0.913,0.132,0.0855,114.114,161444,4,1
40,2xdVhhcaljRGvDEcVRHLQ1,https://api.spotify.com/v1/audio-analysis/2xdVhhcaljRGvDEcVRHLQ1,0.566,0.247,3,-14.094,1,0.031,0.922,0.203,0.315,0.202,109.177,221696,4,1
41,1WmWY8MVCl3iPZ4u1k9sLa,https://api.spotify.com/v1/audio-analysis/1WmWY8MVCl3iPZ4u1k9sLa,0.538,0.161,0,-15.046,1,0.0518,0.982,0.296,0.291,0.21,121.574,196500,4,1
