,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
120,111.26,2.0,0,0,9,100.0,1,4.42,0.72,4.88869779424995,2.200981677426933,16.315579999999997,48.21717,0,1,0,0
121,148.42,3.0,0,0,10,100.0,1,3.8,1.21,4.9210229384061694,2.40784886577857,16.33274,48.22903,0,1,0,0
122,79.94,2.0,0,0,7,84.0,1,3.05,0.25,7.501675514926053,3.517764681510438,16.3464,48.18805,1,0,0,0
123,266.69,4.0,0,0,10,97.0,1,0.93,0.21,12.649254015520784,7.088705228103505,16.38462,48.20442,0,0,1,0
124,155.44,2.0,1,0,10,99.0,1,3.26,0.57,5.172257219941552,2.454619773389553,16.41412,48.219840000000005,0,1,1,0
125,255.01,4.0,1,0,10,99.0,2,1.48,0.23,8.763861849171137,4.689136614404075,16.38342,48.22015,0,0,1,0
126,113.83,2.0,1,0,10,95.0,1,3.7,0.45,5.578772451647772,2.4554518499649585,16.37227,48.17529,0,1,0,0
127,127.62,4.0,0,1,8,87.0,2,2.3,1.05,8.423439242869838,3.5802641257307872,16.39,48.191,0,0,0,0
128,160.11,2.0,1,0,10,98.0,0,2.8,0.25,6.1747507683988285,2.8849119929167104,16.4073,48.21982,0,0,1,0
129,243.55,4.0,0,0,10,100.0,2,2.32,0.12,6.712917530337677,3.4512494387853976,16.362289999999998,48.227990000000005,0,0,0,0
130,214.57,2.0,0,0,9,99.0,1,1.74,0.36,8.012840784246137,4.156489449025915,16.37153,48.22409,0,0,1,0
131,278.15,4.0,0,0,10,97.0,1,2.09,0.64,10.306201798016517,5.918109611498471,16.346610000000002,48.20354,0,0,0,0
132,300.35,4.0,0,1,10,97.0,1,1.33,0.35,10.422092818591388,5.272598820520715,16.3911,48.20583,0,0,1,0
133,169.23,2.0,0,0,10,99.0,1,4.56,0.26,4.982827354967254,2.263061001249423,16.31276,48.213440000000006,0,0,1,0
134,220.41,2.0,0,0,10,95.0,2,3.27,0.66,5.689838573517799,2.83292556516818,16.33667,48.22443,0,0,0,0
135,204.29,4.0,0,1,10,94.0,1,1.4,0.49,9.186564547662469,4.933908830819327,16.37398,48.22116,0,0,0,0
136,122.71,3.0,0,0,8,81.0,1,4.11,1.24,4.996609583043338,2.3292523929333027,16.32121,48.22031,0,0,0,0
137,211.07,2.0,1,0,10,99.0,0,4.1,0.31,7.569650898330411,2.673333165221324,16.32939,48.18659,0,0,1,0
138,233.27,4.0,1,0,10,92.0,1,2.43,0.37,9.002076683519395,4.888776007133442,16.34241,48.20196,0,0,0,0
139,200.78,3.0,1,0,9,90.0,1,1.44,0.4,10.49246217438676,4.924388261635104,16.39271,48.2062,0,0,0,0
140,214.57,4.0,0,0,8,100.0,1,1.53,0.28,8.574740716792281,4.55314024333082,16.38368,48.22058,0,0,0,0
141,204.29,2.0,0,1,10,100.0,1,1.39,0.38,9.361651154699464,4.9618769392475714,16.37236,48.221,0,0,0,0
142,173.9,4.0,0,1,9,93.0,1,2.4,0.36,7.411212338510145,3.388253416921141,16.4,48.221,0,0,0,0
143,168.29,4.0,1,0,10,97.0,1,6.13,0.64,2.850934406600678,1.386846407260756,16.45225,48.22539,0,0,1,0
144,204.29,2.0,0,1,9,92.0,1,1.39,0.39,9.339582212691854,4.953579721574015,16.37248,48.22103,0,0,0,0
145,162.45,2.0,0,0,10,95.0,1,2.44,0.36,8.872035523544197,4.749049830546579,16.34188,48.20313,0,0,0,0
146,173.9,4.0,1,0,10,95.0,1,2.21,0.3,6.78993511405312,3.48666393097922,16.368,48.228,0,0,1,0
147,243.55,3.0,0,0,10,100.0,1,2.08,0.38,7.533031873460547,3.7118059493854014,16.39873,48.20028,0,0,1,0
148,204.29,2.0,0,1,10,95.0,1,1.27,0.33,9.939090874268546,5.326280014133087,16.37249,48.21995,0,0,0,0
149,197.27,4.0,0,0,9,91.0,2,7.82,1.59,2.303905244439684,1.0615094809060228,16.478839999999998,48.20771,0,0,0,0
150,139.31,3.0,1,0,8,88.0,1,2.49,1.16,8.154915003998951,3.3861930597594534,16.38908,48.18869,0,0,0,0
151,182.08,4.0,1,0,10,97.0,1,2.22,0.5,9.42732628638621,5.122652502507492,16.34403,48.20577,0,0,1,0
152,157.77,4.0,0,0,10,100.0,1,2.46,0.36,8.707794866421361,4.740367965938598,16.34123,48.20401,0,0,0,0
153,241.22,4.0,0,0,10,99.0,1,5.12,0.51,12.687927800659931,2.1033148202355845,16.31149,48.18872,0,0,1,0
154,197.27,4.0,0,0,10,96.0,1,1.9,0.65,7.4740382101096765,3.826473535099405,16.38692,48.22319,0,0,1,0
155,305.03,2.0,1,0,9,90.0,1,3.23,0.15,4.899858199281931,2.482275030086652,16.3811,48.237190000000005,0,0,0,0
156,192.37,2.0,1,0,10,95.0,1,1.1,0.17,10.67127445321876,5.984731889635158,16.386,48.214,0,0,0,0
157,312.97,4.0,0,1,9,93.0,2,1.26,0.54,12.899072558729898,6.679077568052184,16.37927,48.1978,0,0,0,0
158,341.96,6.0,0,0,10,97.0,2,2.57,0.23,8.796142127513242,5.033088813226536,16.34303,48.19781,0,0,1,0
159,174.13,2.0,0,0,10,97.0,1,1.89,0.41,7.579926768181851,3.918191103743387,16.37047,48.22535,0,0,0,0
160,227.19,3.0,0,0,10,99.0,0,0.18,0.27,27.589967653498697,15.441291485487271,16.3734,48.21017,0,0,1,0
161,208.73,2.0,1,0,10,99.0,1,3.21,0.52,7.0769177141717,3.208750951804324,16.34808,48.18526,0,0,1,0
162,237.71,2.0,0,0,10,100.0,1,1.25,0.33,9.97935609959714,5.390494353510648,16.373260000000002,48.21979,0,0,0,0
