,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
41,139.87,2.0,0,1,10,97.0,1,2.01,0.25,11.93194586136796,19.566494823033377,2.15024,41.37678,0,1,1,0
42,902.55,6.0,0,1,8,86.0,3,0.58,0.23,19.21559280433159,25.345528648121192,2.17473,41.39092,0,0,0,0
43,121.49,2.0,0,0,8,86.0,1,2.25,0.46,9.98608653562485,13.541315983081578,2.19623,41.39152,0,1,0,0
44,224.59,2.0,1,0,9,93.0,1,1.13,0.32,25.088163875581653,38.53634140121883,2.18272,41.38362,0,1,0,0
45,127.31,2.0,1,0,8,87.0,1,1.27,0.35,12.562217369631544,20.60267734611749,2.15538,41.38402,0,1,0,0
46,242.98,2.0,1,0,9,91.0,1,1.17,0.35,21.95245225077796,35.01750753965111,2.18245,41.38231,0,1,0,0
47,381.92,2.0,0,0,10,96.0,1,0.98,0.22,26.40111127470061,37.83646513536839,2.17941,41.38192,0,1,1,0
48,173.62,2.0,0,0,8,89.0,1,0.95,0.24,28.30841367802965,42.43568148196301,2.17871,41.3817,0,1,0,0
49,730.33,5.0,0,1,9,82.0,2,1.83,0.21,52.48535202130088,17.060374588264665,2.176,41.403,0,0,0,0
50,589.99,5.0,0,1,10,96.0,1,1.15,0.31,16.588226010194013,27.44334116343301,2.15805,41.39224,0,0,1,0
51,215.28,2.0,1,0,10,95.0,1,0.95,0.18,28.241548222724617,35.522495723885605,2.18089,41.38456,0,1,1,0
52,215.28,2.0,0,1,8,85.0,1,0.62,0.49,19.263625333510884,29.09970674234709,2.1672,41.38197,0,1,0,0
53,182.93,2.0,1,0,10,91.0,1,1.04,0.26,23.579887378141663,30.510678716651952,2.1730400000000003,41.37805,0,1,0,0
54,248.56,2.0,1,0,9,90.0,1,1.2,0.2,21.734208918739498,29.737088885244184,2.17732,41.37783,0,1,0,0
55,157.56,2.0,0,0,10,95.0,1,2.55,0.87,12.93594667507244,12.903558204005286,2.1593400000000003,41.40861,0,1,1,0
56,127.31,2.0,1,0,10,93.0,1,1.76,0.34,12.174151591818177,17.87080647668116,2.16265,41.37225,0,1,1,0
57,207.14,2.0,0,0,10,93.0,1,0.56,0.29,24.93517906667474,29.547442832574227,2.17651,41.38817,0,1,0,0
58,185.26,2.0,0,0,10,100.0,1,1.23,0.23,20.92299877162572,29.714334666892807,2.17786,41.37778,0,1,0,0
59,196.9,2.0,0,0,10,95.0,1,1.51,0.09,12.622378311360672,19.478972202891736,2.16063,41.37553,0,1,1,0
60,150.58,2.0,1,0,9,90.0,1,1.9,0.4,10.971762200800622,16.22837502562099,2.14972,41.3794,0,1,0,0
61,469.66,4.0,0,1,10,90.0,1,1.06,0.19,19.875933395828888,29.43120191492625,2.16,41.393,0,0,1,0
62,469.66,4.0,0,1,10,100.0,1,1.06,0.19,19.875844341632728,29.43142538832695,2.16,41.393,0,0,1,0
63,990.53,6.0,0,1,10,92.0,3,1.06,0.19,19.875786167310487,29.43160621745794,2.16,41.393,0,0,1,0
64,115.67,2.0,0,0,8,85.0,1,2.82,0.48,9.615222478194946,11.002809055400816,2.144,41.371,0,1,0,0
65,462.91,4.0,1,0,10,92.0,2,1.07,0.32,23.722500304505477,42.7285774854616,2.1800200000000003,41.38118,0,1,0,0
66,190.84,2.0,1,0,10,92.0,1,1.41,0.18,12.25013714528709,19.303551618008143,2.156,41.38,0,1,0,0
67,167.8,2.0,1,0,10,92.0,1,1.41,0.18,12.250123748448992,19.303432921281203,2.156,41.38,0,1,0,0
68,185.26,2.0,0,0,10,96.0,1,0.46,0.32,25.339957815687413,36.50881375500981,2.17017,41.38303,0,1,1,0
69,156.17,2.0,1,0,10,88.0,1,1.41,0.18,12.250125945763733,19.30364383821781,2.156,41.38,0,1,0,0
70,150.58,2.0,0,0,10,93.0,1,0.22,0.21,19.644998217064224,32.6485826115623,2.16778,41.38613,0,1,0,0
71,132.89,2.0,1,0,10,92.0,1,1.41,0.18,12.250178758805164,19.30367103030403,2.156,41.38,0,1,0,0
72,324.2,3.0,0,0,10,96.0,2,1.34,0.31,12.286843113128972,20.6780692300999,2.15524,41.3824,0,0,1,0
73,157.56,2.0,1,0,10,97.0,1,4.35,0.51,5.895198701677852,7.224573185790153,2.21101,41.4112,0,1,1,0
74,231.34,2.0,1,0,9,94.0,1,0.79,0.2,18.489899740503624,23.86004415174898,2.1781900000000003,41.39075,0,1,0,0
75,115.67,2.0,0,0,10,93.0,1,2.09,0.13,30.72730166223543,15.700985501242265,2.17517,41.40556,0,1,0,0
76,205.97,2.0,0,0,10,95.0,1,0.61,0.26,28.161636855007107,33.57948705669313,2.17018,41.38163,0,1,1,0
77,171.29,2.0,0,1,8,76.0,1,0.55,0.2,17.3722291503368,27.8700418480513,2.16501,41.38397,0,1,0,0
78,121.49,2.0,0,0,9,94.0,1,1.18,0.35,16.181568415321046,18.753070172621115,2.1796900000000003,41.39491,0,1,0,0
79,182.93,2.0,0,1,7,80.0,1,1.22,0.16,12.910449683716848,20.682914911293885,2.15795,41.38094,0,1,0,0
80,164.31,3.0,0,0,9,89.0,1,1.6,0.56,15.804586259070224,21.378009474786484,2.16072,41.39975,0,1,0,0
81,171.29,2.0,0,1,7,80.0,1,0.37,0.19,18.473131315485755,29.829194819853605,2.16565,41.38651,0,1,0,0
82,161.98,2.0,0,0,10,100.0,1,0.47,0.18,25.390057723779293,28.7243687542785,2.1753400000000003,41.38849,0,1,0,0
83,173.62,2.0,1,0,9,83.0,1,1.44,0.22,12.703936485415992,19.712744743711507,2.15988,41.3767,0,1,0,0
84,208.53,2.0,0,0,10,92.0,1,1.14,0.5,20.148305286331784,27.919916237236254,2.18366,41.38663,0,1,0,0
85,118.0,2.0,1,0,10,94.0,1,1.78,0.3,12.14712912682003,17.34915882706439,2.16193,41.37228,0,1,1,0
86,183.86,2.0,1,0,9,90.0,1,1.52,0.15,12.686724316258758,19.824810609283364,2.16203,41.37479,0,1,0,0
87,179.44,2.0,0,0,9,94.0,1,1.79,0.26,12.15116170662735,17.201166149099674,2.16113,41.3725,0,1,0,0
88,165.24,2.0,1,0,9,96.0,1,1.83,0.26,30.698753879781822,16.621440013878715,2.17161,41.40358,0,1,1,0
89,208.53,2.0,0,0,10,90.0,1,1.57,0.16,11.714353648501532,18.396107288850168,2.15366,41.3802,0,1,0,0
90,164.31,2.0,1,0,10,94.0,1,1.5,0.25,12.874732111609,20.87282028557234,2.16329,41.37464,0,1,0,0
91,190.84,2.0,1,0,10,97.0,1,1.36,0.34,12.687953858210154,19.921809537148203,2.15849,41.37855,0,1,1,0
92,237.16,2.0,1,0,9,82.0,1,0.23,0.23,23.348571140048,37.07875064914312,2.17265,41.38642,0,1,0,0
93,144.53,2.0,1,0,8,86.0,1,2.19,0.39,20.111848733132238,13.789960895686932,2.17892,41.40565,0,1,0,0
94,306.51,2.0,0,1,10,96.0,1,1.17,0.2,17.469701067609623,26.47169887133581,2.15845,41.39315,0,1,1,0
95,239.49,2.0,1,0,9,94.0,1,1.12,0.2,100.0,26.89068160591458,2.16203,41.39527,0,1,1,0
96,195.73,2.0,1,0,10,95.0,1,1.09,0.43,22.659848445933317,36.18574775977114,2.1790000000000003,41.38,0,1,1,0
97,185.26,2.0,1,0,10,96.0,1,2.22,0.36,20.36937907162373,13.807723064065472,2.17821,41.40616,0,1,1,0
98,249.96,2.0,1,0,9,95.0,1,1.1,0.16,19.61271927964609,29.74181670593185,2.15971,41.39327,0,1,1,0
99,185.26,2.0,1,0,10,97.0,1,1.09,0.43,22.660088993551028,36.185912159023815,2.1790000000000003,41.38,0,1,1,0
100,433.82,4.0,0,1,10,91.0,2,1.98,0.3,24.23625269145845,15.402044613463254,2.171,41.405,0,0,0,0
101,127.31,2.0,0,0,10,95.0,1,1.94,0.35,12.387950288493048,15.830455769813604,2.15725,41.37257,0,1,0,0
102,185.26,2.0,1,0,10,97.0,1,2.12,0.22,26.299185530135965,14.690271968087426,2.17676,41.40556,0,1,1,0
103,289.29,2.0,1,0,8,88.0,1,0.95,0.35,27.464311490217348,41.09533386182948,2.17739,41.38061,0,1,0,0
104,127.31,2.0,0,0,9,84.0,1,0.88,0.11,18.10114731992816,23.8161981436341,2.17913,41.39112,0,1,0,0
105,320.48,2.0,1,0,10,99.0,1,0.97,0.3,14.09629291958862,23.8597778901696,2.15877,41.38494,0,1,1,0
106,299.53,3.0,1,0,10,93.0,1,1.12,0.55,15.081591003549889,29.75701197965653,2.15722,41.39018,0,1,0,0
107,239.72,2.0,1,0,10,60.0,1,1.33,0.5,14.067967815547512,27.91335102414064,2.15531,41.39163,0,1,0,0
