,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,lng,lat,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
2421,231.22,4.0,0,1,10,100.0,2,5.63,3.0,4.666909929078174,12.478343702896169,12.44653,41.87203,0,0,1,1
2422,141.21,2.0,1,0,10,96.0,1,5.76,2.85,4.614743997425092,12.082581875314686,12.44259,41.87434,0,1,1,1
2423,93.75,2.0,0,1,9,85.0,1,4.42,0.72,7.629047572123455,18.14793712014313,12.452,41.914,0,1,0,1
2424,126.95,3.0,1,0,10,97.0,1,4.49,2.39,6.58481767655357,16.81105724886317,12.45463,41.88166,0,0,0,1
2425,126.95,3.0,1,0,10,97.0,1,4.69,2.47,6.155922405781475,15.788112710838002,12.4531,41.88012,0,0,0,1
2426,85.57,2.0,0,1,8,90.0,1,4.53,0.84,7.20341069536885,16.90292910394057,12.451,41.91483,0,1,0,1
2427,184.93,4.0,0,0,10,98.0,2,6.35,0.18,4.487128941338376,12.189127495723136,12.42578,41.90381,0,0,1,1
2428,133.03,3.0,0,1,10,91.0,1,4.42,0.72,7.629097998834277,18.14805068227522,12.452,41.914,0,1,0,1
2429,208.08,4.0,1,0,10,100.0,1,2.49,0.77,14.173234967083228,33.033785225284376,12.47308,41.90626,0,0,0,1
2430,196.39,3.0,0,0,9,99.0,1,2.26,0.13,12.751735063594552,23.17541617098091,12.487,41.88399999999999,0,0,1,1
2431,150.33,2.0,0,0,9,100.0,1,5.91,0.38,5.08492539237394,12.039774594908431,12.43101,41.90213,0,0,0,1
2432,150.33,2.0,0,0,10,98.0,1,2.8,0.25,4.631829994810223,13.425572982027026,12.531,41.88773,0,0,1,1
2433,155.94,4.0,1,0,10,95.0,2,5.48,0.8,3.0928522890356547,8.397425002911968,12.5369,41.85886,0,0,1,1
2434,155.94,4.0,1,0,10,95.0,2,5.46,0.73,3.074928738072888,8.464590009312811,12.53894,41.86011,0,0,1,1
2435,92.35,4.0,0,1,7,82.0,1,4.02,1.61,5.875129396739602,14.272960018680376,12.46736,41.92601,0,1,0,1
2436,174.41,3.0,0,1,10,100.0,1,5.46,2.73,4.781570733108159,13.12689809013398,12.45,41.871,0,0,0,1
2437,271.43,4.0,0,1,10,100.0,1,1.25,0.14,6.719398361309395,17.425299313730157,12.511,41.91,0,0,1,1
2438,254.13,5.0,1,0,10,97.0,2,4.13,0.68,7.695912368478082,18.74689639697311,12.45638,41.91522,0,0,0,1
2439,344.61,4.0,0,1,10,94.0,2,2.62,1.34,20.53280349855588,59.82640277284522,12.47081,41.89849,0,0,1,1
2440,184.93,3.0,1,0,9,93.0,1,4.48,1.87,5.367864447429895,13.353383870281634,12.46251,41.92813,0,1,0,1
2441,263.48,4.0,0,0,10,100.0,2,4.19,0.45,8.856768776764433,21.90441441761449,12.454,41.912,0,0,1,1
2442,133.03,2.0,1,0,10,100.0,1,4.32,2.14,6.836142660326086,17.641146452299434,12.45754,41.88099,0,1,0,1
2443,202.23,3.0,1,0,10,96.0,0,3.52,0.6,14.199646349972184,32.94777482589921,12.46,41.904,0,0,1,1
2444,238.0,5.0,0,0,9,89.0,2,3.28,1.79,10.636883626745108,32.95233074652684,12.46725,41.88725,0,0,0,1
2445,173.47,4.0,1,0,10,98.0,1,2.27,0.24,4.904896056435107,14.4793341597158,12.522,41.915,0,0,1,1
2446,329.41,4.0,1,0,10,95.0,2,1.8,0.32,20.838099258454093,41.14817415382023,12.481,41.904,0,0,1,1
2447,128.35,2.0,1,0,9,98.0,1,3.87,0.57,6.36626451314756,19.536625605971224,12.47896,41.87064,0,1,1,1
2448,184.7,3.0,0,0,10,95.0,1,4.26,0.95,9.70476211410176,19.47597366153861,12.45118,41.89703,0,0,1,1
2449,259.98,4.0,0,0,8,60.0,1,1.55,0.19,19.5722804388164,36.42095030720141,12.48445,41.90518,0,0,0,1
2450,191.71,3.0,0,1,6,20.0,1,3.4,0.28,7.899957646003346,21.906944764208937,12.47886,41.87571,0,1,0,1
