,realSum,person_capacity,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm,room_shared_True,room_private_True,host_is_superhost_True,weekend_yes
171,327.85,2.0,1,0,10,100.0,1,3.96,0.22,22.481248146729016,13.506002873808276,0,1,0,0
172,194.5,2.0,1,0,10,100.0,1,4.97,1.88,15.616553586203665,8.517854900218877,0,1,1,0
173,971.8,5.0,0,0,9,87.0,1,7.04,0.53,12.129558451935788,7.357516144799914,0,0,0,0
174,531.06,4.0,0,0,10,98.0,2,4.78,0.81,18.75006671485295,10.432562738319625,0,0,1,0
175,166.98,2.0,0,0,9,96.0,1,6.14,1.13,14.961797537181102,7.98104541605702,0,1,1,0
176,872.08,6.0,0,1,10,93.0,1,4.13,0.1,21.660113450754835,14.508833672488286,0,0,1,0
177,277.05,2.0,1,0,9,77.0,0,4.3,0.24,19.89416210202394,12.571398176633728,0,0,0,0
178,375.83,2.0,0,0,9,90.0,0,5.55,0.97,14.924432679165184,8.40362481484195,0,0,0,0
179,431.57,2.0,0,1,10,99.0,1,4.09,0.13,21.788943517546624,14.035634217066375,0,0,0,0
180,243.66,2.0,0,1,8,82.0,0,4.53,0.33,19.02058898450603,11.771694770132784,0,0,0,0
181,129.35,2.0,0,0,8,91.0,1,3.36,0.38,21.971461652534817,13.64191655117316,0,1,0,0
182,401.7,2.0,0,0,10,96.0,1,3.51,1.04,21.183100987187903,12.215330631759652,0,0,1,0
183,269.53,3.0,1,0,10,100.0,0,4.12,0.1,21.681549287221515,14.400115838312184,0,0,0,0
184,417.23,4.0,1,0,8,90.0,1,3.16,1.17,23.56524253548955,11.537656314404302,0,0,0,0
185,103.48,2.0,1,0,10,98.0,1,16.75,3.45,4.942698917969022,2.595647936909529,0,1,1,0
186,334.2,4.0,0,1,8,81.0,1,4.46,0.28,20.19678979954053,12.495759501239377,0,0,0,0
187,384.77,2.0,0,1,10,93.0,1,4.27,0.2,20.6281099128481,14.01939465414676,0,0,0,0
188,155.7,2.0,1,0,10,93.0,1,6.27,1.92,12.632436134167712,7.23991631583622,0,1,0,0
189,474.14,4.0,0,0,6,63.0,2,4.93,0.66,18.16023979458977,11.321838370592223,0,0,0,0
190,183.92,2.0,0,1,9,83.0,0,4.11,0.26,21.21047419200327,13.313163854741852,0,1,0,0
191,1152.9,6.0,0,1,10,96.0,3,4.14,0.09,21.61901100623201,14.746410004652288,0,0,0,0
192,489.66,3.0,1,0,10,100.0,2,6.41,1.74,12.420495459018428,7.161436617941748,0,0,0,0
